serial number,author,title
1328,Thompson Hunter S.,Gonzo Tapes: Life And Work Of Dr. Hunter S. Thompson
1329,Thompson Hunter S.,Great Shark Hunt: Strange Tales From A Strange Time
1330,Tietchen Todd F.,Cubalogues : Beat Writers In Revolutionary Havana
1331,Tonkinson Carole ed.,Big Sky Mind: Buddhism and The Beat Generation
1332,Torgoff Martin,Bop Apocalypse: Jazz Race The Beats & Drugs
1333,Torgoff Martin,Cant Find My Way Home: America In The Great Stoned Age 1945-2000
1334,Trigilio Tony,Allen Ginsbergs Buddhist Poetics
1335,Trigilio Tony,Poetics Of Prophecy: Continuities Of Visionary History In Blake H.D. and Ginsberg
1336,Tritica John Michael,Kenneth Rexroth And The Poetics Of Commitment And Mysticism
1337,Trollope Fanny,Paris and the Parisians
1338,Turner Frederick editor,Into the Heart of Life: Henry Miller at One Hundred
1339,Turner Frederick,Renegade: Henry Miller And The Making Of Tropic Of Cancer
1340,Turner Steve,Jack Kerouac: Angelheaded Hipster
1341,Tytell John editor,Beat Interviews: Conversations With Allen Ginsberg William S. Burroughs John Clellon Holmes Herbert Huncke and Carl Solomon
1342,Tytell John,Naked Angels
1343,Tytell John,Paradise Outlaws: Remembering the Beats
1344,Valle-Inclan Ramon del,Lights Of Bohemia (Luces de Bohemia)
1345,Notes Paper; Translated with introduction and commentary by John Lyon,NULL
1346,Vega Janine Pommy,Green Piano: Poems
1347,Vega Janine Pommy,Mad Dog Of Trieste: New & Selected Poems
1348,Verlaine Paul,Verlaine: Poems
1349,Vidor King,La Bohème
1350,Vives Amadeo,Bohemios: Zarzuela Completa
1351,Wakefield Dan,New York in the 50s
1352,Waldman Anne ed.,Beat Book
1353,Waldman Anne ed. et. al.,Beats at Naropa
1354,Waldman Anne ed. et. al.,Disembodied Poetics: Annals of the Jack Kerouac School
1355,Waldman Anne,Fast Speaking Woman
1356,Waldman Anne,In The Room Of Never Give: New And Selected Poems 1985-2003
1357,Waldman Anne,Iovis: All Is Full Of Jove
1358,Waldman Anne,Kill Or Cure
1359,Waldman Anne,Manatee/Humanity
1360,Waldman Anne editor,Nice To See You: Homage To Ted Berrigan
1361,Waldman Anne,Outrider: Poems Essays Interviews
1362,Waldman Anne,Radical Presence
1363,Waldman Anne,War Crime
1364,Walker Franklin,Seacoast of Bohemia: An Account of Early Carmel
1365,Walkow Gary,Beat
1366,Walsh Joy editor,Moody Street Irregulars
1367,Watson Steven,Birth of the Beat Generation: Visionarie...
1368,Warhol Andy,Andy Warhol Diaries
1369,Warner Simon,Text And Drugs And Rock N Roll: The Beats And Rock Culture
1370,Warnow Catherine H.,Paul Bowles: The Complete Outsider
1371,Weaver Helen,Awakener : A Memoir of Kerouac and the Fifties
1372,Webb Jon Edgar,Outsider
1373,Weddle Jeff,Bohemian New Orleans: The Story of the Outsider and Loujon Press
1374,Weidner Chad,Green Ghost: William Burroughs And The Ecological Mind
1375,Weidman Rich,Beat Generation FAQ
1376,Weiner Seymour S.,Francis Carco: Career of a Literary Bohemian
1377,Weinreich Regina,Spontaneous Poetics of Jack Kerouac: A Study of the Fiction
1378,Weisner Kenneth Robert,Gary Snyders Myths And Texts And The Poetry Of Constituency
1379,Weizmann Daniel editor,Drinking with Bukowski: Recollections of the Poet Laureate of Skid Row
1380,Welch Lew,How I Work As a Poet & Other Essays/Plays/Stories
1381,Welch Lew,I Remain Volume 1: Letters of Lew Welch & Correspondence of His Friends
1382,Welch Lew,Ring Of Bone: Collected Poems Of Lew Welch
1383,Welch Lew,Selected Poems
1384,Wesling Donald ed.,Internal Resistances: The Poetry Of Edward Dorn
1385,Wetzsteon Ross,Republic of Dreams: Greenwich Village: The American Bohemia 1910-1960
1386,Whalen Philip,Canoeing Up Cabarga Creek: Buddhist Poems 1955-1986
1387,Whalen Philip,Heavy Breathing
1388,Whalen Philip,Overtime: Selected Poems
1389,Whaley Preston Jr.,Blows Like A Horn: Beat Writing Jazz Style And Markets In The Transformation Of U.S. Culture
1390,Wheeler Elizabeth Patricia,Frontier Sensibility In Novels Of Jack Kerouac Richard Brautigan And Tom Robbins
1391,White Emil,Henry Miller Between Heaven and Hell
1392,Whitehead Peter photographer with Corso Ferlinghetti Ginsberg And Others,Wholly communion; international poetry reading at the Royal Albert Hall London June 11 1965
1393,Whitmer Peter O.,Aquarius Revisited: Seven Who Created The Sixties Counterculture That Changed America
1394,WHYY-FM (National Public Radio),Writer Robert Stone Relives Counterculture Years
1395,Wickes George editor,Henry Miller And The Critics
1396,Widmer Kingsley,Henry Miller
1397,Wien Kunsthalle editor,Cut-Ups Cut-Ins Cut-Outs: The Art Of William S. Burroughs
1398,Wieners John,Nerves
1399,Wieners John,Selected Poems: 1958-1984
1400,Wilentz Leonard editor,Beat Scene
1401,Williams Orlo,Vie de Boheme A Patch of Romantic Paris
1402,Willey Philip,Naked Tea The Burroughs Bits
1403,Eition: 3rd Printing,NULL
1404,Wills David S.,Scientologist!: William S. Burroughs And The Weird Cult
1405,Wilson Elizabeth,Bohemians: The Glamorous Outcasts
1406,Winans A.D. Editor-,NULL
1407,Winans A.D.,Holy Grail: Charles Bukowski And The Second Coming Revolution
1408,Winslow Kathryn,Henry Miller: Full of Life
1409,Wolf Daniel ed.,Village Voice Reader
1410,Wolfe Tom,Electric Kool-Aid Acid Test
1411,Wolfe Tom,In Our Time
1412,Wolfe Tom,Mauve Gloves & Madmen Clutter & Vine
1413,Wolfe Tom,Pump House Gang
1414,Wolfe Tom,Radical Chic & Mau-Mauing the Flak Catch
1415,Workman Chuck,The Source
1416,Worth Richard,Jack Kerouac : The Road is Life
1417,Wynn Jonathan R.,Beat Sociology: Ethnographic Journeys In Event Spaces
1418,Young Noel ed.,Paintings of Henry Miller
1419,Young Thom,From Blake To Bop: The Portmanteau Aesthetics Of Jack Kerouac
1420,Zott Lynn M. editor,Beat Generation: A Gale Critical Companion
